,0
initial_capital,100000.0
final_capital,121698.14887212982
total_trades,143.0
wins,61.0
losses,82.0
win_rate,0.42657342657342656
net_pnl,21698.148872129826
avg_return,0.002065565456937511
z_score,0.054936077192464156
sharpe,0.8720831895402456
max_drawdown,0.23525215157508744
